case_id,pair_id,experiment_id,dataset_id,dataset_version,window_size,observed_gaps,ground_truth,target_gap_index_zero_based,target_prime_index_one_based,target_left_prime,target_right_prime,source
CASE-W004-0001,PAIR-0001,EXP-000001,DS-EXP000001-001,0.1.0,4,8 18 24 4,6,328,329,2207,2213,local_deterministic_sieve
CASE-W004-0002,PAIR-0002,EXP-000001,DS-EXP000001-001,0.1.0,4,6 6 2 6,12,2013,2014,17497,17509,local_deterministic_sieve
CASE-W004-0003,PAIR-0003,EXP-000001,DS-EXP000001-001,0.1.0,4,2 6 4 2,10,2078,2079,18133,18143,local_deterministic_sieve
CASE-W004-0004,PAIR-0004,EXP-000001,DS-EXP000001-001,0.1.0,4,16 18 2 40,8,2344,2345,20849,20857,local_deterministic_sieve
CASE-W004-0005,PAIR-0005,EXP-000001,DS-EXP000001-001,0.1.0,4,2 10 2 6,10,4188,4189,39847,39857,local_deterministic_sieve
CASE-W004-0006,PAIR-0006,EXP-000001,DS-EXP000001-001,0.1.0,4,14 16 18 8,18,4507,4508,43159,43177,local_deterministic_sieve
CASE-W004-0007,PAIR-0007,EXP-000001,DS-EXP000001-001,0.1.0,4,6 6 20 24,4,5542,5543,54493,54497,local_deterministic_sieve
CASE-W004-0008,PAIR-0008,EXP-000001,DS-EXP000001-001,0.1.0,4,12 2 4 14,6,6344,6345,63331,63337,local_deterministic_sieve
CASE-W004-0009,PAIR-0009,EXP-000001,DS-EXP000001-001,0.1.0,4,10 32 4 8,10,7297,7298,73951,73961,local_deterministic_sieve
CASE-W004-0010,PAIR-0010,EXP-000001,DS-EXP000001-001,0.1.0,4,6 4 12 38,6,8303,8304,85297,85303,local_deterministic_sieve
CASE-W004-0011,PAIR-0011,EXP-000001,DS-EXP000001-001,0.1.0,4,6 10 30 8,10,8490,8491,87481,87491,local_deterministic_sieve
CASE-W004-0012,PAIR-0012,EXP-000001,DS-EXP000001-001,0.1.0,4,4 20 10 6,12,8625,8626,89057,89069,local_deterministic_sieve
CASE-W004-0013,PAIR-0013,EXP-000001,DS-EXP000001-001,0.1.0,4,10 8 6 16,24,8790,8791,90863,90887,local_deterministic_sieve
CASE-W004-0014,PAIR-0014,EXP-000001,DS-EXP000001-001,0.1.0,4,2 24 6 4,6,9754,9755,101873,101879,local_deterministic_sieve
CASE-W004-0015,PAIR-0015,EXP-000001,DS-EXP000001-001,0.1.0,4,6 14 4 2,22,10250,10251,107719,107741,local_deterministic_sieve
CASE-W004-0016,PAIR-0016,EXP-000001,DS-EXP000001-001,0.1.0,4,14 24 6 12,30,12651,12652,135799,135829,local_deterministic_sieve
CASE-W004-0017,PAIR-0017,EXP-000001,DS-EXP000001-001,0.1.0,4,2 22 2 28,2,14206,14207,154211,154213,local_deterministic_sieve
