observatory,metric,value
performance,record_count,4
performance,correct_count,2
performance,incorrect_count,2
performance,accuracy,0.5
performance,mean_confidence,83.75
performance,median_confidence,85.0
performance,brier_score,0.460625
performance,ece,0.5875
performance,prediction_entropy_bits,1.5
performance,normalized_prediction_entropy,0.9463946303571862
performance,distinct_predictions,3
performance,mean_signed_error,1.5
performance,mean_absolute_error,1.5
performance,median_absolute_error,1.0
performance,exact_error_rate,0.5
performance,dataset_case_count,
performance,dataset_coverage,
performance,ledger_entry_count,
performance,pending_entry_count,0
performance,pilot_completion,
behavior,record_count,4
behavior,distinct_predictions,3
behavior,favorite_prediction,6
behavior,favorite_prediction_count,2
behavior,favorite_prediction_share,0.5
behavior,prediction_entropy_bits,1.5
behavior,normalized_prediction_entropy,0.9463946303571862
behavior,transition_count,3
behavior,switch_count,2
behavior,switch_rate,0.6666666666666666
behavior,repeat_count,1
behavior,repeat_rate,0.3333333333333333
behavior,run_count,3
behavior,mean_run_length,1.3333333333333333
behavior,max_run_length,2
behavior,min_run_length,1
behavior,mean_confidence,83.75
behavior,empirical_accuracy,0.5
behavior,confidence_realism_gap,0.3375
calibration,record_count,4
calibration,bin_count,10
calibration,occupied_bin_count,3
calibration,accuracy,0.5
calibration,mean_confidence,0.8375
calibration,signed_calibration_bias,0.3375
calibration,absolute_calibration_bias,0.3375
calibration,ece,0.5875
calibration,maximum_calibration_error,0.925
calibration,brier_score,0.460625
calibration,overconfident_record_count,2
calibration,underconfident_record_count,2
calibration,exactly_calibrated_record_count,0
calibration,overconfidence_rate,0.5
calibration,underconfidence_rate,0.5
distribution,record_count,4
distribution,distinct_prediction_count,3
distribution,distinct_truth_count,3
distribution,prediction_entropy_bits,1.5
distribution,truth_entropy_bits,1.5
distribution,normalized_prediction_entropy,0.9463946303571862
distribution,normalized_truth_entropy,0.9463946303571862
distribution,mean_signed_error,1.5
distribution,median_signed_error,1.0
distribution,mean_absolute_error,1.5
distribution,median_absolute_error,1.0
distribution,maximum_absolute_error,4
distribution,exact_count,2
distribution,underprediction_count,0
distribution,overprediction_count,2
distribution,exact_rate,0.5
distribution,underprediction_rate,0.0
distribution,overprediction_rate,0.5
distribution,total_variation_distance,0.25
distribution,jensen_shannon_divergence_bits,0.25
surprise,record_count,4
surprise,novel_prediction_count,3
surprise,novel_prediction_rate,0.75
surprise,mean_surprise_index,1.040344529780426
surprise,maximum_surprise_index,1.4443856189774724
surprise,mean_confidence_surprise,0.5875
surprise,unexpected_error_count,2
surprise,unexpected_error_rate,0.5
surprise,distinct_prediction_count,3
surprise,distinct_truth_count,3
surprise,mean_truth_rarity_bits,1.5
surprise,mean_prediction_rarity_bits,1.5
surprise,mean_transition_surprise_bits,0.6666666666666666
