case_id,window_size,target_index_1_based,target,prediction,confidence,latency_ms,response_exists,valid_json,schema_valid,exact_match,absolute_error,relative_error,signed_error,prime_valid_prediction,parse_error,response_sha256,evaluation_sha256
CASE-W004-000001,4,1933035,31295239,0,0,,True,True,True,False,31295239,1.0,-31295239,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,0d5b6d57759abd8667a18b3f4aa5a0fd4f9d2102f33464bd2afd87ff9c87d6cc
CASE-W004-000002,4,3893354,65951089,0,0,,True,True,True,False,65951089,1.0,-65951089,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,25b5d3b77312bceedaa0af953c1dd5b26a0f10c31d48ccd90f006bdfbe7fe6dd
CASE-W004-000003,4,5207506,89827069,0,0,,True,True,True,False,89827069,1.0,-89827069,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,1e1d328af42f04d4d5b99c202f4c1ee4c48570b0422fd2792bf5cd33343b1f18
CASE-W004-000004,4,7327230,129047603,0,0,,True,True,True,False,129047603,1.0,-129047603,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,c7d06933beea707d66da55a9946cae263817d7b9dfad9b7f9a99aed4cec90bbb
CASE-W004-000005,4,7723014,136454221,0,0,,True,True,True,False,136454221,1.0,-136454221,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,903c6d43239be02ecf91af35691e8f387d570493c21d57cd85046fcd6896cadb
CASE-W004-000006,4,10925574,197066483,0,0,,True,True,True,False,197066483,1.0,-197066483,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,26df73244bad35c6397cccc1c7a0a6bd0b2ab39351fbfff85bbdbb5a7587c35b
CASE-W004-000007,4,11858775,214933507,0,0,,True,True,True,False,214933507,1.0,-214933507,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,48e0f8baa9379613da745d559925191c4ef28eefc2c6bb64b6b41f015367001e
CASE-W004-000008,4,13027677,237419393,0,0,,True,True,True,False,237419393,1.0,-237419393,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,7ee385e16442bb4cdd11b89cba0ae22f45af1dbe8f915351f5339a76dd4ecd64
CASE-W004-000009,4,15064339,276854839,0,0,,True,True,True,False,276854839,1.0,-276854839,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,e73e95de0840c23232f33bfcb275e414e99f7585060a592675ac9a30300450ea
CASE-W004-000010,4,18167504,337502393,0,0,,True,True,True,False,337502393,1.0,-337502393,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,85e824d65f174aecd53e2823f3d7578f17247308de93b6085b3173c92485bfd8
CASE-W004-000011,4,19224586,358290781,0,0,,True,True,True,False,358290781,1.0,-358290781,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,4f293034d1e1a9340e310bedd3d638bf220dc919bde4f69d5a81aaaa51edaa85
CASE-W004-000012,4,20238195,378279217,0,0,,True,True,True,False,378279217,1.0,-378279217,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,b78814fa9a94b5b6da053fee5daeff93e9eafa41147b7e2cf0a5e9688cf4aab1
CASE-W004-000013,4,22060792,414363493,0,0,,True,True,True,False,414363493,1.0,-414363493,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,35718b8d3a0da93b7610ae58edc5c60353d29d127ad3c81cf533210483f1f1a9
CASE-W004-000014,4,22524557,423573041,0,0,,True,True,True,False,423573041,1.0,-423573041,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,99f66cfcaa6f3562f5513cf69b512ed2b20af1ee70558bedf38c4b4b2688a5f7
